username,timestamp,content,retweets,likes,replies,mentions,hashtags,content_length,total_engagement
user_54,2025-08-31 17:56:50+00:00,This is a sample tweet about Indian stock market #sensex,938,1564,210,"user_455, user_33, user_448",#nifty50,56,2712
user_225,2025-08-31 17:55:48+00:00,This is a sample tweet about Indian stock market #sensex,759,1373,57,"user_3, user_353, user_363",#intraday,56,2189
user_30,2025-08-31 17:53:59+00:00,This is a sample tweet about Indian stock market #intraday,785,1210,118,"user_31, user_81, user_417","#sensex, #banknifty, #nifty50",58,2113
user_131,2025-08-31 17:51:43+00:00,This is a sample tweet about Indian stock market #sensex,919,2255,432,"user_421, user_260","#sensex, #nifty50, #intraday",56,3606
user_406,2025-08-31 17:47:17+00:00,This is a sample tweet about Indian stock market #nifty50,994,598,131,"user_212, user_496","#sensex, #intraday",57,1723
user_437,2025-08-31 17:47:06+00:00,This is a sample tweet about Indian stock market #banknifty,433,2002,82,user_149,"#sensex, #intraday, #nifty50",59,2517
user_178,2025-08-31 17:46:05+00:00,This is a sample tweet about Indian stock market #banknifty,887,2011,450,"user_183, user_289","#banknifty, #sensex, #intraday",59,3348
user_107,2025-08-31 17:42:04+00:00,This is a sample tweet about Indian stock market #sensex,464,897,472,user_421,#sensex,56,1833
user_212,2025-08-31 17:41:50+00:00,This is a sample tweet about Indian stock market #nifty50,900,1127,434,"user_380, user_67",#banknifty,57,2461
user_377,2025-08-31 17:41:36+00:00,This is a sample tweet about Indian stock market #nifty50,476,2941,307,,"#nifty50, #banknifty",57,3724
user_405,2025-08-31 17:40:12+00:00,This is a sample tweet about Indian stock market #banknifty,20,2817,436,,"#banknifty, #nifty50, #sensex",59,3273
user_18,2025-08-31 17:39:29+00:00,This is a sample tweet about Indian stock market #banknifty,199,2421,116,"user_218, user_247, user_46","#nifty50, #banknifty",59,2736
user_110,2025-08-31 17:39:12+00:00,This is a sample tweet about Indian stock market #banknifty,20,2643,477,user_370,"#sensex, #intraday",59,3140
user_320,2025-08-31 17:38:42+00:00,This is a sample tweet about Indian stock market #nifty50,950,2976,1,"user_84, user_432","#intraday, #nifty50, #banknifty",57,3927
user_167,2025-08-31 17:37:38+00:00,This is a sample tweet about Indian stock market #banknifty,841,2507,471,,"#banknifty, #nifty50",59,3819
user_300,2025-08-31 17:36:16+00:00,This is a sample tweet about Indian stock market #nifty50,324,84,402,"user_272, user_415","#banknifty, #intraday, #nifty50",57,810
user_96,2025-08-31 17:34:43+00:00,This is a sample tweet about Indian stock market #banknifty,901,2281,458,"user_60, user_58","#nifty50, #sensex",59,3640
user_452,2025-08-31 17:34:35+00:00,This is a sample tweet about Indian stock market #intraday,175,1217,292,"user_17, user_12",#sensex,58,1684
user_93,2025-08-31 17:34:10+00:00,This is a sample tweet about Indian stock market #intraday,262,2551,40,"user_207, user_442","#intraday, #nifty50",58,2853
user_172,2025-08-31 17:32:53+00:00,This is a sample tweet about Indian stock market #banknifty,682,2289,436,,#banknifty,59,3407
user_227,2025-08-31 17:32:35+00:00,This is a sample tweet about Indian stock market #nifty50,179,1875,379,user_218,#intraday,57,2433
user_197,2025-08-31 17:32:28+00:00,This is a sample tweet about Indian stock market #intraday,34,285,117,"user_410, user_332",#banknifty,58,436
user_99,2025-08-31 17:30:58+00:00,This is a sample tweet about Indian stock market #intraday,75,2037,175,"user_122, user_306","#sensex, #banknifty, #nifty50",58,2287
user_269,2025-08-31 17:30:20+00:00,This is a sample tweet about Indian stock market #intraday,796,1947,49,"user_220, user_291, user_29",#intraday,58,2792
user_363,2025-08-31 17:29:41+00:00,This is a sample tweet about Indian stock market #intraday,466,2015,275,,"#nifty50, #intraday, #sensex",58,2756
user_335,2025-08-31 17:29:32+00:00,This is a sample tweet about Indian stock market #intraday,872,279,293,,#sensex,58,1444
user_282,2025-08-31 17:29:27+00:00,This is a sample tweet about Indian stock market #intraday,158,203,69,"user_374, user_386",#nifty50,58,430
user_228,2025-08-31 17:29:08+00:00,This is a sample tweet about Indian stock market #banknifty,563,2050,230,,"#banknifty, #intraday, #sensex",59,2843
user_445,2025-08-31 17:27:56+00:00,This is a sample tweet about Indian stock market #banknifty,252,1795,53,"user_253, user_276, user_385",#banknifty,59,2100
user_74,2025-08-31 17:27:37+00:00,This is a sample tweet about Indian stock market #nifty50,415,529,69,"user_348, user_380, user_64","#banknifty, #sensex, #intraday",57,1013
user_122,2025-08-31 17:26:19+00:00,This is a sample tweet about Indian stock market #intraday,277,1793,127,,#banknifty,58,2197
user_259,2025-08-31 17:25:56+00:00,This is a sample tweet about Indian stock market #banknifty,623,131,3,"user_455, user_242, user_323",#nifty50,59,757
user_246,2025-08-31 17:24:09+00:00,This is a sample tweet about Indian stock market #intraday,31,1593,36,"user_244, user_494",#sensex,58,1660
user_98,2025-08-31 17:24:05+00:00,This is a sample tweet about Indian stock market #nifty50,563,1758,125,"user_196, user_103, user_419","#intraday, #banknifty, #nifty50",57,2446
user_422,2025-08-31 17:23:37+00:00,This is a sample tweet about Indian stock market #nifty50,529,2757,392,,"#intraday, #banknifty, #nifty50",57,3678
user_117,2025-08-31 17:21:59+00:00,This is a sample tweet about Indian stock market #banknifty,977,2931,112,,"#banknifty, #intraday, #sensex",59,4020
user_46,2025-08-31 17:21:58+00:00,This is a sample tweet about Indian stock market #intraday,401,974,72,,"#nifty50, #sensex",58,1447
user_30,2025-08-31 17:20:22+00:00,This is a sample tweet about Indian stock market #nifty50,498,2548,482,"user_277, user_373","#intraday, #nifty50",57,3528
user_136,2025-08-31 17:17:39+00:00,This is a sample tweet about Indian stock market #banknifty,800,1593,65,"user_12, user_214, user_468",#intraday,59,2458
user_428,2025-08-31 17:16:52+00:00,This is a sample tweet about Indian stock market #sensex,762,808,255,user_98,#sensex,56,1825
user_108,2025-08-31 17:15:03+00:00,This is a sample tweet about Indian stock market #sensex,825,239,438,,"#nifty50, #banknifty",56,1502
user_338,2025-08-31 17:14:05+00:00,This is a sample tweet about Indian stock market #banknifty,397,2072,205,,"#banknifty, #nifty50, #intraday",59,2674
user_326,2025-08-31 17:13:42+00:00,This is a sample tweet about Indian stock market #sensex,57,219,143,,"#banknifty, #nifty50, #intraday",56,419
user_268,2025-08-31 17:13:07+00:00,This is a sample tweet about Indian stock market #sensex,407,1429,323,user_9,#intraday,56,2159
user_168,2025-08-31 17:13:00+00:00,This is a sample tweet about Indian stock market #banknifty,547,2363,25,"user_472, user_144","#sensex, #nifty50, #intraday",59,2935
user_64,2025-08-31 17:12:17+00:00,This is a sample tweet about Indian stock market #sensex,405,963,166,"user_433, user_260, user_57","#nifty50, #sensex",56,1534
user_258,2025-08-31 17:11:34+00:00,This is a sample tweet about Indian stock market #sensex,459,298,489,"user_324, user_254, user_385","#intraday, #banknifty",56,1246
user_322,2025-08-31 17:07:13+00:00,This is a sample tweet about Indian stock market #intraday,445,2124,466,"user_10, user_224, user_497","#sensex, #nifty50, #banknifty",58,3035
user_97,2025-08-31 17:07:00+00:00,This is a sample tweet about Indian stock market #intraday,232,1027,112,"user_368, user_50, user_28",#intraday,58,1371
user_324,2025-08-31 17:06:23+00:00,This is a sample tweet about Indian stock market #intraday,559,1470,241,user_476,"#sensex, #intraday",58,2270
user_319,2025-08-31 17:06:01+00:00,This is a sample tweet about Indian stock market #sensex,987,2597,423,,"#banknifty, #intraday",56,4007
user_262,2025-08-31 17:04:27+00:00,This is a sample tweet about Indian stock market #sensex,268,204,17,,"#intraday, #banknifty, #sensex",56,489
user_88,2025-08-31 17:01:01+00:00,This is a sample tweet about Indian stock market #nifty50,662,224,358,"user_100, user_116","#banknifty, #intraday",57,1244
user_171,2025-08-31 17:00:07+00:00,This is a sample tweet about Indian stock market #banknifty,893,1567,169,user_353,"#banknifty, #sensex",59,2629
user_107,2025-08-31 16:59:19+00:00,This is a sample tweet about Indian stock market #intraday,209,78,418,,"#banknifty, #intraday",58,705
user_394,2025-08-31 16:59:15+00:00,This is a sample tweet about Indian stock market #banknifty,127,2021,67,"user_309, user_326","#banknifty, #sensex, #nifty50",59,2215
user_145,2025-08-31 16:59:01+00:00,This is a sample tweet about Indian stock market #sensex,377,684,174,"user_304, user_342, user_419",#nifty50,56,1235
user_486,2025-08-31 16:57:36+00:00,This is a sample tweet about Indian stock market #nifty50,197,123,179,,#intraday,57,499
user_198,2025-08-31 16:56:28+00:00,This is a sample tweet about Indian stock market #banknifty,732,2751,316,user_380,"#nifty50, #intraday",59,3799
user_281,2025-08-31 16:56:04+00:00,This is a sample tweet about Indian stock market #nifty50,425,118,120,"user_142, user_212","#sensex, #banknifty, #nifty50",57,663
user_317,2025-08-31 16:55:39+00:00,This is a sample tweet about Indian stock market #nifty50,488,472,43,user_467,"#nifty50, #banknifty, #intraday",57,1003
user_431,2025-08-31 16:55:22+00:00,This is a sample tweet about Indian stock market #banknifty,140,1511,147,"user_52, user_421","#intraday, #sensex",59,1798
user_480,2025-08-31 16:54:20+00:00,This is a sample tweet about Indian stock market #nifty50,958,287,129,"user_322, user_484, user_487","#nifty50, #sensex",57,1374
user_450,2025-08-31 16:53:59+00:00,This is a sample tweet about Indian stock market #nifty50,249,2109,481,"user_38, user_480, user_403",#intraday,57,2839
user_220,2025-08-31 16:52:34+00:00,This is a sample tweet about Indian stock market #sensex,24,1333,325,"user_427, user_37, user_249","#banknifty, #intraday",56,1682
user_255,2025-08-31 16:52:13+00:00,This is a sample tweet about Indian stock market #banknifty,264,883,234,user_392,"#nifty50, #intraday",59,1381
user_64,2025-08-31 16:51:59+00:00,This is a sample tweet about Indian stock market #banknifty,84,172,262,"user_323, user_412, user_279","#sensex, #banknifty, #nifty50",59,518
user_437,2025-08-31 16:50:40+00:00,This is a sample tweet about Indian stock market #banknifty,851,1300,426,"user_381, user_169, user_353",#banknifty,59,2577
user_376,2025-08-31 16:50:33+00:00,This is a sample tweet about Indian stock market #banknifty,104,134,97,user_176,#intraday,59,335
user_278,2025-08-31 16:49:13+00:00,This is a sample tweet about Indian stock market #banknifty,8,846,43,"user_306, user_265, user_376","#intraday, #banknifty",59,897
user_482,2025-08-31 16:46:11+00:00,This is a sample tweet about Indian stock market #sensex,197,599,329,"user_485, user_329",#sensex,56,1125
user_417,2025-08-31 16:46:00+00:00,This is a sample tweet about Indian stock market #intraday,375,2814,175,,"#banknifty, #nifty50",58,3364
user_274,2025-08-31 16:45:48+00:00,This is a sample tweet about Indian stock market #sensex,695,894,104,user_52,#sensex,56,1693
user_50,2025-08-31 16:45:12+00:00,This is a sample tweet about Indian stock market #nifty50,237,750,394,"user_159, user_333","#sensex, #banknifty",57,1381
user_475,2025-08-31 16:42:03+00:00,This is a sample tweet about Indian stock market #sensex,166,386,425,"user_175, user_221","#nifty50, #sensex, #banknifty",56,977
user_203,2025-08-31 16:41:44+00:00,This is a sample tweet about Indian stock market #nifty50,398,2421,98,,#intraday,57,2917
